ticker,display_name,handle,post_text,comments,likes,views
CALEB,ERI ‧₊˚,ERI ‧₊˚,i live for zayne caleb beef,48,33000,313000
CALEB,Chesa,Chesa,"Sorry to the people who hate Caleb's EN voice because y'all missing out, the rasp in his voice did things to me",72,4300,80000
CALEB,𝓐.,𝓐.,#XAVIER x #CALEB — choose one.,1,2400,42000
CALEB,Hira ෆ,Hira ෆ,#XAVIER & #CALEB : obsessed with her.,9,4400,42000
BEAN,chefderek.eth,chefderek.eth,Every $UFD bean counter soon:,13,157,2300
BEAN,bean,bean,"#LoveandDeepspace #セイヤ #Xavier #沈星回 
misty silhouette",37,18000,189000
BEAN,tastytrade,tastytrade,"A trading platform you can trust – because traders trust us, too.",0,79,27000
BEAN,tommy,tommy,the cutest bean,2,544,13000
Hana,min hana⁷,min hana⁷,Who caught your eye first in bts and who is your bias now?,905,2700,64000
Hana,حنان عيسى 𓂆,حنان عيسى 𓂆,"تعود للحياة .. زي غزة 
""ظنّوا استشهادها، فإذا بها تفتح عينيها""
فرحة طواقم الدفاع المدني بإنقاذ طفلة من تحت ركام منزل قصفه الاحتلال بمدينة غزة

#مقاطعه_الكافيهات__المشهوره #نادر_شوقي_عدو_الاهلي  #عليا_الطلاق_ماابراهيم لوس انجلوس #وقف_اطلاق_النار عمان",4,154,10000
Hana,ⵀⴰⵏⴰ Hana,ⵀⴰⵏⴰ Hana,"ⴰⵙⴳⴳⴰⵙ ⴰⵎⴰⵢⵏⵓ ⴰⵎⴱⴰⵔⴽⵉ 2975

#HappyAmazighNewYear2975",24,516,9200
Hana,SHANKI,SHANKI,Kairo ni kama hana ata stress,49,832,66000
Hana,min hana⁷,min hana⁷,Who caught your eye first in bts and who is your bias now?,905,2700,64000
Hana,حنان عيسى 𓂆,حنان عيسى 𓂆,"تعود للحياة .. زي غزة 
""ظنّوا استشهادها، فإذا بها تفتح عينيها""
فرحة طواقم الدفاع المدني بإنقاذ طفلة من تحت ركام منزل قصفه الاحتلال بمدينة غزة

#مقاطعه_الكافيهات__المشهوره #نادر_شوقي_عدو_الاهلي  #عليا_الطلاق_ماابراهيم لوس انجلوس #وقف_اطلاق_النار عمان",4,154,10000
Hana,hana,hana,#cihal: sen hiç sevgi görmedin mi? hiç ilgi görmedin mi? hiç mi sarıp sarmalamadılar seni?,11,427,8300
Hana,ⵀⴰⵏⴰ Hana,ⵀⴰⵏⴰ Hana,"ⴰⵙⴳⴳⴰⵙ ⴰⵎⴰⵢⵏⵓ ⴰⵎⴱⴰⵔⴽⵉ 2975

#HappyAmazighNewYear2975",24,516,9200
Weapon,ADHDDude A-Grade SEND Education Rights Weapon,ADHDDude A-Grade SEND Education Rights Weapon,This is typical fare for neurodiversity advocates when it comes to #ADHD. Another bad take about #ADHD. It is insulting.,4,25,804
Weapon,Daniel Wade,Daniel Wade,The Charger do have 1 weapon for sure.,21,253,12000
Weapon,The Tank,The Tank,Another arsonist video making the rounds. I think the psyops the government is doing trying to get the focus on arsonist instead of their direct energy weapon.,180,4200,469000
Weapon,MAGA’s “Weapon X” v2.0,MAGA’s “Weapon X” v2.0,Six days. MAGA mode activated.,1,10,128
