ticker,display_name,handle,post_text,timestamp,comments,likes,views
SCHIZO,Schizo,schizoflow,"Acceptance, with exhaustion at the highs, is usually followed by a stop run..which is a bearish spike in positive delta.

Bulls want only deviations below IB, otherwise we prob test lower. Notice where the bid came.

tldr: Stay above the purple line.",2025-01-14T19:42:46.000Z,2,14,295
SCHIZO,Christian Ascania,heirofascania,“What are Schizo Edits?”,2025-01-13T20:41:53.000Z,5,192,2500
SCHIZO,KEM₿A,KING__KEMBA,Bullish $schizo,2025-01-12T10:58:06.000Z,4,26,773
SCHIZO,✠ Liquid ✠,liquid_schizo,"""me and who"" posters vindicated once again today",2025-01-14T02:11:48.000Z,0,10,61
SCHIZO,Marusha,mattomattik,gm fellow schizo enjoyer,2025-01-12T00:31:07.000Z,1,10,773
SCHIZO,IAMAI Intern,iamai_intern,"ngl its starting to get to me

but that doesn’t stop me from making some schizo content for 
@iamai_wtf",2025-01-13T17:56:25.000Z,2,12,233
SCHIZO,dumpster (schizo arc),imaDUMPSTERfr,"I like 
@HarryPepeSol",2025-01-12T16:51:21.000Z,2,12,224
SCHIZO,white schizo male,imdonniedarko0,just gotta make it to Friday,2025-01-13T18:43:31.000Z,3,684,7900
BEAN,BIG BEAN,Gail_BeAN,"Theta Tau MADE.Young Buck
. 
18 Enemies of the State Waiting To ExhaleAOML Happy Founders Day to all before x all after. If it weren't for the 22, I wouldn't belong to the best sisterhood in all the land. Beyond Grateful",2025-01-13T23:48:40.000Z,43,1500,43000
BEAN,Isha,_precious_bean_,Hare Krishna,2025-01-14T04:19:06.000Z,36,87,950
BEAN,$UFD BEAN COUNTER,DrumRom,Ever since I bought my first $UFD bean.,2025-01-14T13:13:26.000Z,1,15,243
BEAN,Alma Bean,AlmaBean23,"Tour of the locker room
#NHLinUtah #UtahHC",2025-01-14T01:36:50.000Z,1,102,4900
BEAN,Judy Stevens,JudeStevens,"Good morning lovely treepeople from this gnarly, twisty lucky bean tree (Erythrina abyssinica) for  #ThickTrunkTuesday  Happy trunking tree friends. #trees #nature",2025-01-14T06:20:52.000Z,4,127,693
BEAN,AmericaReal,AmericaReal3,The Bean.... feeding herself!,2025-01-12T22:29:38.000Z,75,345,2100
BEAN,Olympic Bean,olympicbean,"Just know whenever you hear “I love Kobe but…” you about to hear some dumbass shit LMAO

Kevin Durant??? Foh",2025-01-14T19:56:30.000Z,0,6,103
BEAN,Menjobenjo,BeanMakima,Hai!,2025-01-13T05:33:54.000Z,6,190,1500
Kitty,netflixbrasil,NetflixBrasil,"ATENÇÃO: NESSA SEMANA TEM A 2 ª TEMPORADA DE COM CARINHO, KITTY!",2025-01-13T19:16:54.000Z,155,4800,185000
Kitty,(G)I-DLE BRAZIL,GIDLEBRAZIL,"AMAMOS! ""I DO"" do (G)I-DLE está na trilha sonora da 2ª temporada de ""XO, Kitty"", da Netflix.",2025-01-12T23:56:44.000Z,18,1800,47000
Kitty,Netflix,netflix,XO Kitty returns this Thursday and we cannot wait to experience mess like this again.,2025-01-12T22:00:00.000Z,99,4000,485000
Kitty,Cats with pawerful aura,AuraCatAi,Kitty stuck,2025-01-13T04:33:15.000Z,146,26000,1000000
Kitty,MAGA Kitty,SaveUSAKitty,"JD Vance: “I wish Joe Biden all the best but the fact is, he has left us a dumpster fire.”",2025-01-12T16:21:39.000Z,10,71,1300
Kitty,Netflix,netflix,"Two pretty best friends recap XO, Kitty  Season 2 THIS THURSDAY",2025-01-13T20:10:00.000Z,51,1900,316000
Kitty,쵸,kitty_777a,"여러분 저어떡해요..?
ai에 제그림체 학습당햇는데 이런건 처음이라 너무 소름돋아요",2025-01-13T04:55:42.000Z,16,8900,1100000
Kitty,智慧 (zhihui),abovecelestial,"many have tried to recreate Mu Sheng's ""想死"" scene in tiktok & douyin, but no one comes close to this kitty ‍ #DingYuxi #丁禹兮",2025-01-13T01:24:25.000Z,4,1000,21000
Kitty,MAGA Kitty,SaveUSAKitty,Look at this EPIC ReTruth by President Trump just now!,2025-01-12T21:25:52.000Z,9,68,1200
COPPER,Sof McVeigh,sofmcveigh,"Checking out the old copper pipes on the Worlds End Estate, 
@rbkc
 some are reaching the end of their life and need replacing. #Housing #chelsea",2025-01-13T16:53:43.000Z,1,3,162
COPPER,Eagle Plains Resources Ltd.,eagleplains,"Did you know BC is Canada's leader in producing #copper, and steelmaking #metcoal, second largest producer of #silver, and only producer of #molybdenum? The mining sector is at the core of the province's vitality and brings new opportunities | MABC",2025-01-14T18:59:53.000Z,0,5,38
COPPER,JuggernautExploration,JuggernautExpBC,"A newly discovered shear zone located north of the Double Down Hinge Zone extends for more than 100 m and is over 2 meters wide and contains chalcopyrite, bornite, native copper and molybdenite mineralization and remains open, providing additional strong drill targets for 2025.",2025-01-13T12:45:02.000Z,0,11,862
COPPER,Andra,BioavailableNd,"GHK-CU Copper Peptide and Red Light seem to be an incredible anti-ageing duo in in vitro research. N=1-ing this one and been loving the results. Glad others are trying too. My skin feels tighter, brighter and more plump.",2025-01-13T14:37:34.000Z,28,1200,228000
COPPER,"Foran Mining (FOM CA, FMCXF US)",ForanMining,"Foran Commences 2025 Winter Drill Program at Tesla Zone

https://foranmining.com/wp-content/uploads/2025/01/News-Release-Final-Tesla-Infill-Footwall-Drill-Results_Final.pdf…

$FOM $FMCXF
#Mining #MiningNews #Copper #Drilling",2025-01-14T14:28:21.000Z,0,6,85
COPPER,Reuters Energy and Commodities,ReutersCommods,"Copper's early-year rally leaves investors unimpressed - column by 
@AndyHomeMetals
  https://reuters.com/markets/commodities/coppers-early-year-rally-leaves-investors-unimpressed-andy-home-2025-01-14/…",2025-01-14T16:10:54.000Z,0,2,805
COPPER,StockShaman #PeakCopper AKA Greg Shafransky,StockShaman,"#Copper $4.3237 +.0282 +0.66%
The march to All Times Highs in 2025",2025-01-14T03:59:36.000Z,1,21,2200
COPPER,T-Pop TJai (ทีป๊อป ทีใจ),tpoptjai_,"COPPER BUS & FOURTH ถ่ายทอดตัวตนเปิดเผยเสน่ห์ผ่าน 2 สไตล์ ในคอลเลคชั่นแว่นสุดแกรม #GentleMonsterJewelry เป็นอีกลุคที่แฟนๆ ต้องให้คะแนนเต็ม 100 แน่นอน 

#tpoptjai #ทีป๊อปทีใจ #COPPERdechawat #Fourthnattawat 

COPPER BUS & FOURTH showcase their charm and individuality through two",2025-01-12T12:49:46.000Z,50,3200,67000
COPPER,Copper,gm_copper,"Its a start... $PUFF 
STAKED and BAKED",2025-01-13T21:17:00.000Z,1,8,194
Hana,hana,glarehana,#cihal: sen hiç sevgi görmedin mi? hiç ilgi görmedin mi? hiç mi sarıp sarmalamadılar seni?,2025-01-14T08:50:26.000Z,11,562,14000
